label,SHORT_TERM_COUNT_BANK,SHORT_TERM_COUNT_NON_BANK,MID_TERM_COUNT_NON_BANK,NUMBER_OF_CREDIT_CARDS_BANK,NUMBER_OF_CREDIT_CARDS_NON_BANK,NUM_NEW_LOAN_TAKEN_3M,NUM_NEW_LOAN_TAKEN_6M,OUTSTANDING_BAL_LOAN_6M,OUTSTANDING_BAL_CC_3M,INCREASING_BAL_3M_LOAN,INCREASING_BAL_6M_LOAN,INCREASING_BAL_3M_CC,INCREASING_BAL_6M_CC,INCREASING_BAL_3M_ALL,INCREASING_BAL_6M_ALL,OUTSTANDING_BAL_CC_CURRENT,CREDIT_CARD_NUMBER_OF_LATE_PAYMENT,ENQUIRIES_FROM_BANK_3M,ENQUIRIES_FROM_NON_BANK_3M,ENQUIRIES_FROM_NON_BANK_FOR_CC_3M,ENQUIRIES_FROM_NON_BANK_9M,ENQUIRIES_FROM_BANK_12M,ENQUIRIES_FROM_NON_BANK_FOR_CC_12M
1,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000000.0,1.0,4.0,9.0,2.0,19.0,4.0,7.0
0,7.0,4.0,1.0,7.0,4.0,14.0,20.0,1000197.0,1000213.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000200.0,1.0,4.0,14.0,2.0,14.0,14.0,2.0
0,1.0,7.0,1.0,7.0,1.0,2.0,2.0,1000040.0,1000110.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000130.0,1.0,24.0,9.0,2.0,19.0,59.0,2.0
1,1.0,1.0,4.0,1.0,4.0,2.0,8.0,1000142.0,1000133.0,1000010.0,1000000.0,1000010.0,1000000.0,2000020.0,2000000.0,1000070.0,1.0,4.0,9.0,2.0,19.0,4.0,2.0
0,4.0,1.0,1.0,4.0,1.0,8.0,8.0,1000017.0,1000003.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000000.0,1.0,4.0,9.0,2.0,9.0,4.0,2.0
0,1.0,4.0,4.0,4.0,1.0,14.0,14.0,1000075.0,1000017.0,1000000.0,1000000.0,1000020.0,1000000.0,2000020.0,2000000.0,1000020.0,1.0,4.0,9.0,2.0,9.0,4.0,2.0
0,1.0,1.0,4.0,1.0,4.0,2.0,2.0,1000522.0,1000240.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000720.0,1.0,4.0,9.0,2.0,14.0,24.0,2.0
0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,1000028.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000000.0,0.0,4.0,14.0,2.0,14.0,4.0,2.0
0,4.0,1.0,1.0,4.0,1.0,8.0,8.0,1000030.0,1000039.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000020.0,1.0,4.0,9.0,2.0,9.0,4.0,2.0
0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,1000158.0,1000320.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000167.0,1.0,4.0,9.0,2.0,9.0,4.0,2.0
1,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000000.0,1.0,4.0,14.0,2.0,14.0,4.0,2.0
0,1.0,4.0,1.0,7.0,1.0,2.0,8.0,1000088.0,1000013.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000010.0,1.0,9.0,14.0,2.0,19.0,14.0,2.0
1,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1000000.0,1000000.0,1000010.0,1000010.0,1000010.0,1000010.0,2000020.0,2000020.0,1000000.0,1.0,4.0,4.0,2.0,4.0,4.0,2.0
0,4.0,4.0,4.0,4.0,1.0,2.0,14.0,1000380.0,1000300.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000310.0,1.0,4.0,14.0,2.0,14.0,29.0,2.0
0,4.0,4.0,1.0,1.0,1.0,14.0,14.0,1000023.0,999990.0,1000000.0,1000000.0,999990.0,999990.0,2000000.0,2000000.0,999990.0,1.0,4.0,9.0,2.0,9.0,4.0,2.0
0,4.0,7.0,1.0,4.0,4.0,2.0,20.0,1000081.0,1000080.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000220.0,1.0,4.0,14.0,2.0,14.0,4.0,2.0
0,4.0,4.0,1.0,1.0,1.0,8.0,14.0,1000012.0,999990.0,1000000.0,1000000.0,999990.0,999990.0,2000000.0,2000000.0,999990.0,1.0,4.0,9.0,2.0,9.0,4.0,2.0
0,4.0,7.0,4.0,1.0,1.0,8.0,8.0,1000087.0,999990.0,1000000.0,1000000.0,999990.0,999990.0,2000000.0,2000000.0,1000151.0,7.0,24.0,19.0,2.0,19.0,24.0,2.0
0,4.0,4.0,1.0,1.0,4.0,8.0,8.0,1000003.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000000.0,1.0,4.0,9.0,2.0,9.0,4.0,2.0
0,4.0,4.0,4.0,7.0,1.0,2.0,0.0,1000138.0,1000207.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000310.0,1.0,4.0,24.0,7.0,24.0,24.0,7.0
0,1.0,4.0,1.0,1.0,1.0,8.0,8.0,1000060.0,999990.0,1000000.0,1000000.0,999990.0,999990.0,2000000.0,2000000.0,999990.0,1.0,4.0,14.0,2.0,14.0,4.0,2.0
0,7.0,1.0,1.0,0.0,1.0,8.0,8.0,1000085.0,999990.0,1000000.0,1000000.0,1000000.0,999990.0,2000000.0,1999990.0,999990.0,0.0,4.0,9.0,2.0,9.0,4.0,2.0
1,1.0,1.0,1.0,7.0,1.0,2.0,2.0,1000000.0,1000127.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000150.0,1.0,4.0,9.0,2.0,9.0,4.0,2.0
0,4.0,4.0,1.0,1.0,1.0,14.0,14.0,1000017.0,999990.0,1000000.0,1000000.0,999990.0,999990.0,2000000.0,2000000.0,999990.0,1.0,4.0,9.0,2.0,9.0,4.0,2.0
0,4.0,4.0,1.0,1.0,1.0,8.0,14.0,1000070.0,999990.0,1000000.0,1000000.0,999990.0,999990.0,2000000.0,2000000.0,999990.0,1.0,4.0,9.0,2.0,9.0,4.0,2.0
0,1.0,7.0,1.0,4.0,1.0,2.0,2.0,1000208.0,1000010.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000010.0,1.0,4.0,9.0,2.0,14.0,4.0,2.0
0,1.0,7.0,1.0,1.0,1.0,2.0,2.0,1000043.0,1000000.0,1000010.0,1000000.0,1000000.0,1000000.0,2000020.0,2000000.0,1000000.0,1.0,4.0,9.0,2.0,9.0,4.0,2.0
0,4.0,1.0,1.0,1.0,4.0,2.0,2.0,1000013.0,1000053.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000252.0,1.0,24.0,19.0,2.0,19.0,39.0,2.0
1,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000000.0,1.0,4.0,9.0,2.0,29.0,4.0,12.0
0,1.0,1.0,4.0,1.0,4.0,2.0,2.0,1000080.0,1000000.0,1000010.0,1000010.0,1000000.0,1000000.0,2000020.0,2000020.0,1000000.0,1.0,4.0,9.0,2.0,9.0,4.0,2.0
0,1.0,4.0,4.0,1.0,1.0,2.0,8.0,1000363.0,999990.0,1000000.0,1000000.0,999990.0,999990.0,2000000.0,2000000.0,999990.0,1.0,4.0,24.0,7.0,24.0,4.0,7.0
0,1.0,1.0,4.0,0.0,1.0,2.0,2.0,1000098.0,1000150.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000110.0,4.0,4.0,19.0,7.0,24.0,9.0,7.0
0,4.0,4.0,1.0,7.0,1.0,2.0,2.0,1000093.0,1000047.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000080.0,1.0,9.0,14.0,2.0,14.0,9.0,2.0
1,1.0,4.0,1.0,1.0,1.0,2.0,8.0,1000052.0,1000000.0,1000010.0,1000000.0,1000000.0,1000000.0,2000020.0,2000000.0,1000000.0,1.0,4.0,9.0,2.0,9.0,4.0,2.0
1,1.0,7.0,1.0,1.0,1.0,14.0,20.0,1000080.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000000.0,1.0,9.0,9.0,2.0,9.0,9.0,2.0
0,1.0,4.0,1.0,4.0,1.0,8.0,8.0,1000022.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000000.0,1.0,4.0,9.0,2.0,9.0,4.0,2.0
1,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1000000.0,1000000.0,1000010.0,1000010.0,1000010.0,1000010.0,2000020.0,2000020.0,1000000.0,1.0,4.0,4.0,2.0,4.0,4.0,2.0
0,1.0,1.0,7.0,1.0,4.0,2.0,2.0,1000398.0,1000097.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000080.0,1.0,4.0,34.0,12.0,54.0,4.0,22.0
0,4.0,4.0,1.0,4.0,4.0,2.0,2.0,1000053.0,1000040.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000060.0,1.0,4.0,14.0,2.0,14.0,4.0,2.0
0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1000018.0,999990.0,1000000.0,1000000.0,999990.0,999990.0,2000000.0,2000000.0,999990.0,1.0,4.0,9.0,2.0,9.0,4.0,2.0
0,1.0,7.0,1.0,4.0,1.0,8.0,8.0,1000127.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000000.0,1.0,4.0,9.0,2.0,19.0,4.0,2.0
0,4.0,7.0,1.0,1.0,1.0,14.0,14.0,1000077.0,999990.0,1000010.0,1000000.0,1000010.0,999990.0,2000020.0,1999990.0,999990.0,0.0,4.0,9.0,2.0,9.0,4.0,2.0
0,1.0,7.0,4.0,4.0,4.0,8.0,14.0,1000295.0,1000120.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000140.0,1.0,9.0,39.0,7.0,54.0,9.0,12.0
0,1.0,7.0,1.0,4.0,4.0,2.0,2.0,1000035.0,1000070.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000210.0,1.0,4.0,14.0,2.0,14.0,9.0,2.0
0,1.0,1.0,7.0,1.0,4.0,8.0,8.0,1000357.0,1000253.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000310.0,1.0,4.0,19.0,7.0,29.0,4.0,12.0
0,4.0,4.0,1.0,1.0,1.0,2.0,8.0,1000052.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000000.0,1.0,34.0,14.0,2.0,14.0,44.0,2.0
0,1.0,4.0,4.0,1.0,1.0,8.0,8.0,1000147.0,999990.0,1000000.0,1000010.0,999990.0,999990.0,1999990.0,2000000.0,999990.0,0.0,4.0,14.0,2.0,19.0,4.0,2.0
0,1.0,1.0,4.0,4.0,0.0,2.0,2.0,1000138.0,1000020.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000020.0,1.0,4.0,14.0,2.0,14.0,14.0,2.0
0,4.0,7.0,1.0,1.0,1.0,8.0,14.0,1000170.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000000.0,1.0,4.0,9.0,2.0,9.0,4.0,2.0
0,4.0,4.0,1.0,7.0,1.0,8.0,8.0,1000038.0,1000007.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,1000010.0,1.0,4.0,9.0,2.0,9.0,4.0,2.0
0,7.0,4.0,1.0,1.0,1.0,14.0,20.0,1000070.0,999990.0,1000000.0,1000000.0,999990.0,999990.0,1999990.0,2000000.0,999990.0,1.0,4.0,14.0,2.0,14.0,4.0,2.0
0,4.0,4.0,1.0,1.0,1.0,8.0,8.0,1000080.0,999990.0,1000000.0,1000000.0,999990.0,999990.0,2000000.0,2000000.0,999990.0,1.0,4.0,9.0,2.0,9.0,4.0,2.0
1,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1000000.0,1000000.0,1000010.0,1000010.0,1000010.0,1000010.0,2000020.0,2000020.0,1000000.0,0.0,4.0,4.0,2.0,4.0,4.0,2.0
0,1.0,7.0,1.0,7.0,1.0,14.0,14.0,1000057.0,1000028.0,1000000.0,1000000.0,1000010.0,1000000.0,2000020.0,2000000.0,1000050.0,1.0,9.0,9.0,2.0,9.0,14.0,2.0
0,4.0,4.0,4.0,1.0,1.0,8.0,8.0,1000205.0,999990.0,1000000.0,1000000.0,999990.0,999990.0,2000000.0,2000000.0,999990.0,1.0,4.0,9.0,2.0,9.0,14.0,2.0
0,4.0,7.0,1.0,1.0,1.0,14.0,20.0,1000113.0,999990.0,1000010.0,1000000.0,999990.0,999990.0,2000000.0,2000000.0,999990.0,1.0,4.0,9.0,2.0,9.0,4.0,2.0
0,4.0,7.0,1.0,4.0,1.0,14.0,20.0,1000047.0,1000007.0,1000010.0,1000000.0,1000000.0,1000000.0,2000020.0,2000000.0,1000010.0,1.0,4.0,9.0,2.0,9.0,4.0,2.0
0,7.0,4.0,1.0,1.0,1.0,8.0,14.0,1000045.0,999990.0,1000010.0,1000000.0,999990.0,999990.0,2000000.0,2000000.0,999990.0,1.0,4.0,9.0,2.0,9.0,4.0,2.0
